fall,winter,spring,summer,,,,,,
817,210,29,557,,,,,,
899,266,47,785,,,,,,
1047,249,97,792,,,,,,
975,224,120,795,,,,,,
923,279,305,799,,,,,,
939,406,188,1073,,,,,,
950,721,1049,1602,,,,,,
603,500,984,1203,,,,,,
427,258,376,965,,,,,,
298,161,311,664,,,,,,
260,119,253,480,,,,,,
170,92,171,432,,,,,,
99,58,122,304,,,,,,
58,42,47,227,,,,,,
20,39,24,109,,,,,,
8,21,7,75,,,,,,
13,7,7,28,,,,,,
10,4,6,14,,,,,,
12,5,73,29,,,,,,
76,9,221,84,,,,,,
354,57,510,200,,,,,,
927,99,956,414,,,,,,
1136,135,554,787,,,,,,
547,197,267,950,,,,,,
336,183,308,1108,,,,,,
372,115,353,1229,,,,,,
435,90,385,1275,,,,,,
465,98,329,1199,,,,,,
465,130,395,1183,,,,,,
511,126,621,1105,,,,,,
828,111,897,1077,,,,,,
1367,106,654,1025,,,,,,
952,64,420,1029,,,,,,
543,63,212,826,,,,,,
335,35,142,688,,,,,,
255,37,117,487,,,,,,
119,36,91,369,,,,,,
69,33,83,243,,,,,,
26,19,47,155,,,,,,
15,12,34,97,,,,,,
9,7,24,54,,,,,,
4,0,7,29,,,,,,
16,1,15,28,,,,,,
94,8,36,75,,,,,,
330,22,113,176,,,,,,
912,68,235,401,,,,,,
1217,71,448,732,,,,,,
627,144,699,1018,,,,,,
417,143,848,1128,,,,,,
486,194,1153,1216,,,,,,
588,176,1244,1240,,,,,,
574,149,1271,1305,,,,,,
562,193,1271,1222,,,,,,
773,165,1194,1224,,,,,,
1024,149,1050,1190,,,,,,
1367,102,949,1086,,,,,,
1079,83,628,891,,,,,,
688,68,381,702,,,,,,
379,48,284,538,,,,,,
268,48,271,365,,,,,,
284,17,223,187,,,,,,
287,6,141,93,,,,,,
194,2,95,32,,,,,,
135,4,74,29,,,,,,
49,0,31,9,,,,,,
37,4,11,17,,,,,,
17,55,16,112,,,,,,
47,167,30,393,,,,,,
116,396,96,887,,,,,,
259,608,219,1126,,,,,,
387,306,503,498,,,,,,
442,125,922,369,,,,,,
325,127,1109,488,,,,,,
337,177,1436,511,,,,,,
434,157,1553,517,,,,,,
390,146,1578,547,,,,,,
408,171,1537,632,,,,,,
344,321,1494,971,,,,,,
440,635,1339,1687,,,,,,
970,529,1003,1370,,,,,,
769,310,778,1015,,,,,,
485,172,538,771,,,,,,
320,113,354,487,,,,,,
280,56,196,273,,,,,,
132,30,80,85,,,,,,
82,21,37,27,,,,,,
30,8,15,12,,,,,,
14,2,4,12,,,,,,
9,0,4,7,,,,,,
4,1,6,18,,,,,,
12,51,82,122,,,,,,
